year,mod,est,se,ci_99low,ci_99up,p_val
1993,den,-1.007133161335544,0.5894636631067492,-5.8553186397434835,3.841052317072396,0.2152704972765406
1994,den,-0.9917053743687925,0.39322892509199026,-2.549593483699291,0.5661827349617059,0.051405459045163894
1996,den,-0.9486241442894466,0.343649392895769,-2.1356921246495286,0.23844383607063546,0.027016007218352883
1997,den,-0.8513047764904748,0.33451528609286646,-1.9588873194907652,0.2562777665098156,0.033200811054221374
1998,den,-0.8201678426445217,0.2910117767092065,-1.7094396175261535,0.06910393223711009,0.015537424790701132
1999,den,-0.8524568295644783,0.26243937225618047,-1.6246360804602382,-0.08027757866871832,0.005341067265839323
2000,den,-0.7681265513905317,0.25377756264749024,-1.5077696443735917,-0.028483458407471574,0.007904322798509908
2001,den,-0.7408900490282185,0.22538711881088574,-1.39162574672257,-0.09015435133386718,0.004206850801079179
2003,den,-0.6976396439264947,0.1943076985404034,-1.2486442107378055,-0.14663507711518387,0.0017552937893686468
2004,den,-0.7288810748193736,0.16695196526901548,-1.1945884604187365,-0.2631736892200106,1.9606952108565018e-4
2005,den,-0.7463470783913629,0.16312505744776337,-1.199558281097604,-0.2931358756851219,1.0272413010937938e-4
2006,den,-0.6943065341645364,0.15579062531310095,-1.1245065810471804,-0.2641064872818923,1.2010955387522136e-4
2007,den,-0.6558313072680324,0.1493347440978333,-1.0637141924475848,-0.24794842208848006,1.0718931406238843e-4
2008,den,-0.6361327551020589,0.13984585327365362,-1.017003333846908,-0.2552621763572099,6.19538508977891e-5
2009,den,-0.595404905691296,0.12333866102020731,-0.9277929214123444,-0.2630168899702477,1.7729224216307046e-5
2012,den,-0.612231898986569,0.12173726007374179,-0.9399186852339412,-0.28454511273919697,8.676429947187746e-6
2014,den,-0.5967197827523143,0.119620087592974,-0.9183898295174175,-0.2750497359872111,9.478311140242338e-6
2015,den,-0.6128608744605855,0.1114866393430715,-0.9119661499350193,-0.3137555989861516,1.4791272921010414e-6
2016,den,-0.6459489622432852,0.1073274019925354,-0.9334176760609542,-0.3584802484256163,2.0900561002433102e-7
2017,den,-0.6656133881572444,0.10705564372273721,-0.9521107075723192,-0.3791160687421696,9.487724703061972e-8
1999,bio,0.43124784762110435,0.21448182876861577,-1.1474781015764963,2.009973796818705,0.15824241602820016
2003,bio,0.3174241247500942,0.19888739303467345,-0.6593910480905939,1.2942392975907824,0.19228922847856955
2004,bio,-0.15399449744510954,0.38103078349950137,-1.5882194632965139,1.2802304684062948,0.700610595901024
2006,bio,-0.22172697919680806,0.33095872851739877,-1.4104094483378407,0.9669554899442246,0.5259368599190136
2007,bio,-0.2895064254371956,0.2992768984878037,-1.315208772994831,0.7361959221204396,0.36367869601080055
2008,bio,-0.32244547689141445,0.2673361892230093,-1.2114807709520183,0.5665898171691894,0.26119327218199745
2009,bio,-0.3196111689226354,0.23670396147077863,-1.0661128235611999,0.426890485715929,0.2060628407262759
2015,bio,-0.31043671201692,0.21707488943316713,-0.9836331727895947,0.3627597487557547,0.18027555920119437
2016,bio,-0.3164668054040666,0.18369105568254612,-0.8756571726075674,0.24272356179943422,0.11009201734389884
2017,bio,-0.24441262756393176,0.17872899492119385,-0.7831303095511194,0.29430505442325583,0.1947308161810269
